Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,97.5,110.0,95.0,109.5,106.0891342163086,424382
2019-01-03,110.5,118.0,104.5,117.0,113.35550689697266,407734
2019-01-04,122.0,125.0,116.5,119.5,115.77764129638672,426358
2019-01-07,122.5,134.5,118.5,133.0,128.85711669921875,544570
2019-01-08,139.0,139.0,127.0,131.5,127.40384674072266,416624
2019-01-09,134.0,151.0,132.0,148.0,143.38987731933594,622778
2019-01-10,146.0,149.0,138.0,148.5,143.87429809570312,377616
2019-01-11,147.0,148.0,138.5,141.0,136.60792541503906,257046
2019-01-14,138.0,148.0,137.5,141.0,136.60792541503906,318914
2019-01-15,144.5,148.5,142.0,146.5,141.9365997314453,286030
2019-01-16,146.5,148.5,137.5,138.5,134.185791015625,252600
2019-01-17,135.5,145.0,133.5,144.0,139.5144805908203,385784
2019-01-18,146.5,154.0,142.5,153.0,148.234130859375,427816
2019-01-22,148.0,150.5,138.5,139.5,135.15464782714844,300820
2019-01-23,143.5,144.0,135.0,136.0,131.76365661621094,196112
2019-01-24,135.0,146.0,134.0,142.5,138.0612030029297,237730
2019-01-25,146.0,148.5,140.0,145.0,140.4833221435547,254610
2019-01-28,142.5,143.5,136.5,142.5,138.0612030029297,231206
2019-01-29,143.0,150.0,143.0,147.5,142.90545654296875,247014
2019-01-30,149.5,155.5,144.5,154.0,149.20297241210938,296468
2019-01-31,153.5,157.0,145.5,148.0,143.38987731933594,380726
2019-02-01,148.5,162.0,147.5,156.5,151.6251220703125,226214
2019-02-04,154.5,163.0,153.5,162.0,156.9537811279297,199890
2019-02-05,162.0,162.5,156.5,161.0,155.9849395751953,178960
2019-02-06,158.5,161.5,156.0,160.5,155.50050354003906,125058
2019-02-07,158.0,161.0,143.5,147.0,142.4210205078125,323122
2019-02-08,146.5,148.5,136.0,138.0,133.7013702392578,241484
2019-02-11,137.0,143.0,135.0,138.5,134.185791015625,254744
2019-02-12,143.0,148.0,141.5,145.5,140.96775817871094,176954
2019-02-13,146.0,155.0,146.0,152.5,147.74969482421875,151354
