Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,148.73858642578125,172.6199951171875,176.32000732421875,170.69000244140625,176.22000122070312,172700
2019-01-03,147.91146850585938,171.66000366210938,173.9199981689453,169.3300018310547,172.35000610351562,202900
2019-01-04,148.12686157226562,171.91000366210938,173.25,169.69000244140625,172.3000030517578,250800
2019-01-07,148.34228515625,172.16000366210938,174.25,170.30999755859375,171.22000122070312,167900
2019-01-08,153.8999481201172,178.61000061035156,179.1999969482422,171.1999969482422,172.7100067138672,227000
2019-01-09,150.77215576171875,174.97999572753906,180.11000061035156,173.17999267578125,178.60000610351562,239500
2019-01-10,150.25518798828125,174.3800048828125,175.99000549316406,172.49000549316406,175.42999267578125,103200
2019-01-11,148.6007843017578,172.4600067138672,175.4199981689453,171.75,175.4199981689453,128200
2019-01-14,147.98899841308594,171.75,173.72000122070312,171.3000030517578,172.22000122070312,178300
2019-01-15,152.2972869873047,176.75,176.92999267578125,170.52999877929688,172.49000549316406,110300
2019-01-16,151.45286560058594,175.77000427246094,178.25,174.1999969482422,176.83999633789062,124200
2019-01-17,151.53903198242188,175.8699951171875,177.3699951171875,174.55999755859375,176.00999450683594,112000
2019-01-18,148.8592529296875,172.75999450683594,176.94000244140625,172.24000549316406,175.72999572753906,107100
2019-01-22,146.524169921875,170.0500030517578,173.32000732421875,169.10000610351562,173.1199951171875,143100
2019-01-23,144.99908447265625,168.27999877929688,171.35000610351562,167.02999877929688,169.61000061035156,179100
2019-01-24,144.13742065429688,167.27999877929688,168.22000122070312,164.91000366210938,167.9199981689453,292700
2019-01-25,139.41555786132812,161.8000030517578,167.63999938964844,161.5500030517578,167.63999938964844,168300
2019-01-28,137.08045959472656,159.08999633789062,164.39999389648438,158.86000061035156,161.25,226500
2019-01-29,135.54669189453125,157.30999755859375,159.1999969482422,156.17999267578125,158.6699981689453,114500
2019-01-30,134.70228576660156,156.3300018310547,158.6300048828125,155.75999450683594,156.63999938964844,129000
2019-01-31,137.06326293945312,159.07000732421875,161.14999389648438,155.4499969482422,158.22000122070312,563200
2019-02-01,135.10726928710938,156.8000030517578,165.11000061035156,156.41000366210938,158.97999572753906,318900
2019-02-04,134.1163787841797,155.64999389648438,158.0,154.9600067138672,157.22999572753906,204100
2019-02-05,134.86599731445312,156.52000427246094,157.80999755859375,155.02999877929688,155.92999267578125,137700
2019-02-06,135.49502563476562,157.25,158.02999877929688,155.91000366210938,156.25999450683594,109200
2019-02-07,137.71812438964844,159.8300018310547,160.0800018310547,155.5399932861328,157.1699981689453,164800
2019-02-08,138.64865112304688,160.91000366210938,161.75,159.25999450683594,159.25999450683594,144600
2019-02-11,137.5802459716797,159.6699981689453,162.47000122070312,158.38999938964844,160.83999633789062,181000
2019-02-12,137.3131103515625,159.36000061035156,162.27999877929688,155.2899932861328,159.83999633789062,161600
2019-02-13,136.29638671875,158.17999267578125,164.39999389648438,156.9199981689453,159.1699981689453,182400
2019-02-14,136.9856719970703,158.97999572753906,160.0399932861328,156.75,157.4499969482422,215000
2019-02-15,137.46827697753906,159.5399932861328,161.47999572753906,158.72000122070312,159.58999633789062,171300
2019-02-19,137.69223022460938,159.8000030517578,161.5800018310547,158.3699951171875,159.8000030517578,155900
2019-02-20,137.43368530273438,159.5,160.72000122070312,156.42999267578125,159.8699951171875,155200
2019-02-21,138.68316650390625,160.9499969482422,162.55999755859375,158.72999572753906,159.44000244140625,152300
2019-02-22,136.4342041015625,158.33999633789062,160.41000366210938,157.77999877929688,160.41000366210938,131400
2019-02-25,134.4868927001953,156.0800018310547,159.41000366210938,154.75999450683594,158.5500030517578,148700
2019-02-26,133.1082305908203,154.47999572753906,157.24000549316406,154.07000732421875,156.22000122070312,120900
2019-02-27,133.7803497314453,155.25999450683594,155.4600067138672,152.9499969482422,153.97999572753906,118200
2019-02-28,135.0814208984375,156.77000427246094,157.69000244140625,153.8000030517578,155.38999938964844,119900
