Date,MDY,QQQ,XLP,EEM,JNK,CPER,VPL,DBB,FXE,PPLT,VTI,FXY,TLT,IWM,XLF,XLU,XLY,DBV,BIL,FXF,IWD,UGA,XLE,CORN,FXA,VXUS,EFA,UNG,XLC,XLV,LQD,VNQ,SHV,GLD,CANE,DBE,AGG,XLB,JPST,FXC,XLRE,IBND,DBP,CYB,PALL,SPY,IEUR,DBC,IYR,USO,SLV,FUT,XLI,FXB,XLK,VTSMX,PFF,UUP,DBA
2015-01-02,243.9900665283203,97.8498306274414,41.47569274902344,34.465927124023445,82.8127670288086,19.020000457763672,49.1348876953125,15.397077560424805,118.1999969482422,116.56999969482422,94.91146850585938,80.72000122070312,110.93253326416016,109.83907318115234,13.77835178375244,39.05143356323242,66.12661743164061,24.63214683532715,87.21461486816406,97.41000366210938,90.6567153930664,33.220001220703125,62.95866394042969,26.479999542236328,77.3045883178711,41.0727767944336,51.63613891601562,59.84000015258789,,62.31264114379883,98.72938537597656,64.97695922851561,104.14946746826172,114.08000183105469,11.59000015258789,16.35684585571289,95.19579315185548,43.28197860717773,,83.4335708618164,,33.487964630126946,35.788917541503906,24.36327934265137,77.11000061035156,183.52557373046875,36.837318420410156,17.712509155273438,63.215065002441406,159.1199951171875,15.109999656677244,,50.23194885253906,150.61000061035156,37.74302673339844,46.50275802612305,28.569297790527344,23.450498580932614,24.002124786376953
2015-01-05,240.3795318603516,96.41449737548828,41.184024810791016,33.852527618408196,82.23467254638672,19.020000457763672,48.51995086669922,15.24233341217041,117.54000091552734,117.5999984741211,93.2806167602539,81.30999755859375,112.67511749267578,108.37059783935548,13.48863124847412,38.5739860534668,64.86186981201172,24.62240600585937,87.23370361328125,96.91000366210938,89.05069732666016,31.76000022888184,60.35419464111328,27.1200008392334,77.23773956298828,40.16969299316406,50.417259216308594,59.47999954223633,,61.99485397338867,99.13309478759766,65.33258819580078,104.14946746826172,115.8000030517578,11.449999809265135,15.690205574035645,95.4026870727539,42.17878341674805,,83.52239990234375,,33.32163619995117,36.43148040771485,24.353593826293945,77.08999633789062,180.21116638183597,35.73643493652344,17.459890365600586,63.42636489868164,150.32000732421875,15.5,,49.05859375,149.82000732421875,37.16687774658203,45.68185806274414,28.46109771728516,23.49894905090332,24.29435920715332
2015-01-06,237.56512451171875,95.12174224853516,41.13256454467773,33.71028518676758,81.84932708740234,18.739999771118164,48.01760482788086,15.077916145324707,117.16000366210938,118.54000091552734,92.36661529541016,82.11000061035156,114.7052230834961,106.49577331542969,13.282485008239744,38.59869003295898,64.21566009521484,24.525007247924805,87.21461486816406,96.66000366210938,88.2086410522461,31.1200008392334,59.46756362915039,27.04999923706055,77.31410217285156,39.86298751831055,49.8461799621582,59.72000122070313,,61.786048889160156,99.53678131103516,65.98060607910156,104.15892791748048,117.12000274658205,11.859999656677244,15.207132339477539,95.64405059814452,41.80513381958008,,82.95987701416016,,33.272727966308594,36.918270111083984,24.36327934265137,77.81999969482422,178.5137481689453,35.38076400756836,17.294713973999027,63.88956069946289,144.39999389648438,15.829999923706055,,48.45414733886719,148.80999755859375,36.71875762939453,45.23983383178711,28.48996353149414,23.547399520874023,24.45995903015137
2015-01-07,240.77757263183597,96.34797668457031,41.835975646972656,34.43926239013672,82.29891204833984,18.739999771118164,48.64120101928711,15.029559135437012,116.48999786376952,118.31999969482422,93.46878051757812,81.66000366210938,114.47869110107422,107.80725860595705,13.421772956848145,38.97734832763672,65.23113250732422,24.710063934326172,87.21461486816406,96.13999938964844,89.12015533447266,30.690000534057614,59.59422302246094,26.520000457763672,77.07547760009766,40.3315658569336,50.40021514892578,58.31999969482422,,63.23875427246094,99.66864013671876,66.9921875,104.15892791748048,116.43000030517578,11.710000038146973,15.197470664978027,95.62680053710938,42.27665710449219,,82.989501953125,,32.979236602783196,36.76249694824219,24.402029037475586,76.80000305175781,180.7382659912109,35.70255661010742,17.18783950805664,64.71844482421875,146.9600067138672,15.850000381469727,,48.81859970092773,148.3699951171875,37.029685974121094,45.78108215332031,28.55487823486328,23.63461303710937,24.34306526184082
2015-01-08,244.5084686279297,98.19204711914062,42.47076034545898,35.025985717773445,82.85556030273438,18.68000030517578,49.23882675170898,15.184303283691404,116.08000183105469,118.11000061035156,95.11756896972656,81.31999969482422,112.9626693725586,109.6358871459961,13.622350692749025,39.24898910522461,66.20968627929689,24.99251937866211,87.21461486816406,95.73999786376952,90.6914291381836,30.88999938964844,60.932090759277344,26.3799991607666,77.4955062866211,40.842750549316406,51.08210754394531,59.7599983215332,,64.3192138671875,99.3472900390625,67.24504852294922,104.15892791748048,115.94000244140624,12.06999969482422,15.352054595947266,95.4802474975586,43.28197860717773,,82.92039489746094,,32.79336166381836,36.509368896484375,24.402029037475586,76.76000213623047,183.94546508789062,36.16831970214844,17.255851745605472,65.08412170410156,148.39999389648438,15.640000343322756,,49.7963981628418,148.1300048828125,37.84364318847656,46.583946228027344,28.590938568115234,23.73151588439941,24.255393981933594
2015-01-09,242.44406127929688,97.54566192626952,42.12763214111328,34.910415649414055,83.30518341064453,18.61000061035156,49.05693817138672,15.058572769165039,116.61000061035156,119.3000030517578,94.3290023803711,82.06999969482422,114.19986724853516,108.58304595947266,13.43848705291748,39.00204849243164,65.44344329833984,24.93408203125,87.21461486816406,96.18000030517578,89.85807037353516,30.399999618530273,60.44918441772461,26.649999618530273,78.36422729492188,40.67234420776367,50.83491516113281,59.959999084472656,,63.74721908569336,99.61095428466795,67.27669525146484,104.16836547851562,117.26000213623048,11.960000038146973,15.274763107299805,95.7130126953125,43.05955505371094,,82.74272918701172,,32.861827850341804,36.90853500366211,24.440776824951172,77.83000183105469,182.47142028808597,36.03281784057617,17.226703643798828,65.1085205078125,146.24000549316406,15.770000457763672,,49.2630500793457,148.92999267578125,37.7247314453125,46.20506286621094,28.612567901611328,23.62492370605469,24.19694709777832
2015-01-12,241.14796447753903,96.52857971191406,41.998966217041016,34.62594223022461,83.21956634521484,18.61000061035156,48.91836929321289,14.961858749389648,116.52999877929688,120.4000015258789,93.6569595336914,82.22000122070312,114.8533172607422,108.2228546142578,13.327055931091307,38.91149139404297,65.09267425537111,24.73928260803223,87.21461486816406,96.13999938964844,89.23301696777344,29.479999542236328,58.70760726928711,26.82999992370605,77.93462371826172,40.5104866027832,50.7155876159668,56.72000122070313,,63.77442932128906,99.80046844482422,67.79035949707031,104.18726348876952,118.55999755859376,11.760000228881836,14.637105941772461,95.79060363769531,42.96169662475586,,81.99268341064453,,32.891189575195305,37.31744384765625,24.45046424865723,78.66000366210938,181.0419921875,35.99048614501953,16.847774505615234,65.46608734130861,139.27999877929688,15.869999885559082,,48.92526245117188,149.02000427246094,37.28576278686523,45.85325622558594,28.590938568115234,23.62492370605469,24.0216064453125
2015-01-13,241.0368194580078,96.50005340576172,41.990379333496094,34.92819595336914,83.13390350341797,18.61000061035156,49.264808654785156,14.439596176147461,115.87999725341795,120.0999984741211,93.4419174194336,82.55999755859375,114.8533172607422,108.30594635009766,13.282485008239744,39.01850128173828,65.09267425537111,24.69058609008789,87.21461486816406,95.62000274658205,88.96390533447266,29.45000076293945,58.24052810668945,25.86000061035156,77.99188995361328,40.72346878051758,50.97129821777344,59.7599983215332,,63.49297714233398,99.89109802246094,67.68760681152344,104.1778564453125,118.16000366210938,11.890000343322756,14.714397430419922,95.81645965576172,42.48128509521485,,82.07164764404297,,32.910743713378906,37.45374298095703,24.47952651977539,79.16000366210938,180.53277587890625,36.12598037719727,16.779760360717773,65.29541778564453,140.9600067138672,16.290000915527347,,48.82748031616211,148.91000366210938,37.2583236694336,45.76304244995117,28.56206703186035,23.69275665283203,23.78782081604004
2015-01-14,240.0462646484375,95.96775817871094,41.861717224121094,34.732620239257805,82.9411849975586,16.920000076293945,48.996315002441406,14.265507698059082,116.05999755859376,119.36000061035156,92.9311294555664,82.97000122070312,115.72461700439452,107.87187957763672,13.09305477142334,39.35601425170898,64.30797576904297,24.787982940673828,87.21461486816406,95.75,88.35621643066406,31.020000457763672,58.42261123657226,25.6200008392334,77.9059829711914,40.553077697753906,50.826393127441406,66.72000122070311,,63.39310836791992,100.06409454345705,68.27243041992189,104.1778564453125,117.97000122070312,12.06999969482422,15.197470664978027,96.04924774169922,41.983070373535156,,82.16047668457031,,32.949893951416016,37.2979736328125,24.508586883544922,75.27999877929688,179.44285583496094,36.07516860961914,16.964366912841793,65.72611999511719,146.16000366210938,16.129999160766598,,48.5608024597168,149.6199951171875,37.0479850769043,45.51045608520508,28.50439071655273,23.644302368164066,23.72937393188477
2015-01-15,237.37998962402344,94.7225341796875,41.930335998535156,34.81262969970703,82.47018432617188,17.489999771118164,49.28213882446289,14.400909423828125,114.4000015258789,121.9499969482422,91.99029541015624,83.63999938964844,117.54561614990234,106.05249786376952,12.931480407714846,39.66881561279297,63.47710800170898,23.667896270751953,87.21461486816406,112.19000244140624,87.6096420288086,29.96999931335449,57.67847061157226,25.51000022888184,78.56468200683594,40.842750549316406,51.15028762817383,64.48000335693361,,62.712158203125,100.58318328857422,68.43048858642578,104.18726348876952,120.94000244140624,12.220000267028807,14.666090965270994,96.48885345458984,41.90299987792969,,82.04203796386719,,32.56833648681641,38.086570739746094,24.489213943481445,74.37000274658203,177.79908752441406,36.32921981811523,16.731178283691403,65.81549072265625,139.60000610351562,16.149999618530273,,48.3296890258789,149.02999877929688,36.57241821289063,45.05039596557617,28.51159858703613,23.72182655334473,23.61248016357422
