Date,VMC,ADTN,HIBB,RF,EHC
2015-01-02,63.71166610717773,18.85964775085449,47.47999954223633,8.771678924560549,33.129844665527344
2015-01-05,61.95195007324219,18.82501220703125,46.16999816894531,8.471220970153809,33.02315139770508
2015-01-06,61.80925750732422,18.547924041748047,45.52000045776367,8.187455177307129,32.765304565429695
2015-01-07,62.97925567626953,18.634506225585934,47.86000061035156,8.237531661987305,33.77004623413086
2015-01-08,64.94823455810547,18.56524085998535,48.77000045776367,8.362722396850586,34.57027816772461
2015-01-09,64.95774841308594,18.42669105529785,48.4000015258789,8.120686531066895,35.13043975830078
2015-01-12,64.91969299316406,18.305463790893555,49.4900016784668,7.962111473083496,35.041542053222656
2015-01-13,64.07312774658203,19.24064826965332,48.65999984741211,7.8369221687316895,34.321319580078125
2015-01-14,64.43457794189453,19.535066604614254,49.20000076293945,7.644961357116699,34.703643798828125
2015-01-15,62.98875427246094,19.275287628173828,47.09000015258789,7.503081321716309,35.414974212646484
2015-01-16,63.62605285644531,19.535066604614254,48.25,7.569849491119385,36.45528793334961
2015-01-20,63.72119522094727,19.95935821533203,47.59000015258789,7.294428825378418,36.33969497680664
2015-01-21,64.66290283203125,19.95935821533203,47.709999084472656,7.269391059875487,36.58865737915039
2015-01-22,66.50822448730469,19.786178588867188,49.790000915527344,7.670001983642577,38.83821868896485
2015-01-23,66.33699798583984,19.379196166992188,50.0099983215332,7.5197715759277335,38.37585830688477
2015-01-26,67.07893371582031,19.050148010253906,50.31000137329102,7.578194618225098,38.74041366577149
2015-01-27,66.80307006835939,19.327241897583008,49.459999084472656,7.48638916015625,38.891563415527344
2015-01-28,66.61285400390625,19.361879348754886,48.33000183105469,7.294428825378418,39.06050491333008
2015-01-29,67.85893249511719,19.5610408782959,48.34000015258789,7.386237144470215,39.78961181640625
2015-01-30,67.06943511962889,19.14539909362793,47.040000915527344,7.261044979095459,39.21166229248047
2015-02-02,67.95404815673828,18.93758201599121,47.4000015258789,7.453006267547607,39.39838790893555
2015-02-03,68.31552124023439,19.120174407958984,48.52000045776367,7.603230953216553,39.94965362548828
2015-02-04,67.98258209228516,18.76368522644043,49.5,7.544810771942139,39.3094596862793
2015-02-05,70.39863586425781,19.111478805541992,49.56000137329102,7.678348064422607,40.331993103027344
2015-02-06,71.55911254882812,19.015838623046875,49.06000137329102,7.9788055419921875,39.89630508422852
2015-02-09,72.45323181152344,19.128868103027344,48.36999893188477,7.811882495880128,39.4872932434082
2015-02-10,73.96564483642578,19.215816497802734,48.61999893188477,7.80353832244873,39.878517150878906
2015-02-11,74.19395446777344,19.53753089904785,48.77999877929688,7.7784976959228525,39.76293563842773
2015-02-12,75.53515625,20.328767776489254,49.4000015258789,7.962111473083496,39.7540397644043
2015-02-13,75.97270965576172,20.094009399414066,49.599998474121094,7.945420265197754,40.02078628540039
2015-02-17,76.81926727294922,19.798376083374023,49.43999862670898,8.078957557678223,40.01189041137695
2015-02-18,77.11416625976562,19.9809684753418,49.13000106811523,7.937073707580566,39.66512680053711
2015-02-19,77.29486083984375,19.859243392944336,49.38999938964844,7.953764915466309,39.93186569213867
2015-02-20,77.02853393554688,19.998361587524414,49.06000137329102,8.062264442443848,39.78071975708008
2015-02-23,76.30562591552734,19.259296417236328,48.709999084472656,7.9871506690979,40.26974868774414
