Date,MMM,AXP,AMGN,AMZN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,GS,HD,HON,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,NVDA,PG,CRM,SHW,TRV,UNH,VZ,V,WMT
2016-10-07,107.64958953857422,55.12002182006836,132.02822875976562,41.97150039672852,26.273178100585938,123.15240478515624,72.55650329589844,72.88289642333984,24.53954315185547,32.365623474121094,86.82037353515625,142.98187255859375,105.83917236328124,86.88135528564453,103.52915954589844,95.90158081054688,54.63345718383789,93.08888244628906,46.73975372314453,52.13529968261719,47.04259490966797,1.6443077325820925,71.91763305664062,70.51615142822266,83.22932434082031,95.0996551513672,120.88829040527344,33.09303283691406,78.39649200439453,19.687654495239254
2016-10-10,107.53022003173828,55.24497604370117,132.66668701171875,42.08549880981445,26.731557846069336,124.98334503173828,72.3514633178711,74.10153198242188,24.53954315185547,32.365623474121094,86.82037353515625,144.0006103515625,104.96482849121094,86.76762390136719,104.42698669433594,96.35195922851562,55.05859756469727,94.12278747558594,47.5811767578125,52.35177230834961,47.04259490966797,1.6504573822021484,71.16647338867188,74.682861328125,83.84872436523438,95.6061553955078,122.14439392089844,33.272029876708984,78.6235122680664,19.481321334838867
2016-10-11,106.61288452148438,54.31678771972656,129.5216827392578,41.54999923706055,26.78914833068848,123.05118560791016,71.73635864257812,73.431640625,24.20423889160156,32.21826171875,86.22901153564453,142.31678771972656,103.8100128173828,85.93892669677734,102.94393157958984,94.6147232055664,54.79389572143555,93.27762603759766,46.1142692565918,51.585060119628906,47.06983947753906,1.6265981197357178,70.75096893310547,72.01774597167969,82.8174057006836,94.65957641601562,119.19876098632812,33.07978057861328,77.60193634033203,19.31224822998047
2016-10-12,106.63800048828124,54.16505813598633,129.17483520507812,41.704498291015625,27.02871322631836,122.51754760742188,71.82658386230469,72.79737854003906,23.658397674560547,32.404396057128906,85.80658721923828,142.5356903076172,104.50291442871094,87.27946472167969,102.6113739013672,94.8801498413086,54.64950942993164,94.12278747558594,45.91322326660156,51.51290893554688,47.63299560546875,1.633977293968201,70.77496337890625,71.82881164550781,83.31910705566406,95.78054809570312,119.50837707519533,33.34495162963867,77.80058288574219,19.33230972290039
2016-10-13,106.82646942138672,53.915157318115234,129.4980010986328,41.4640007019043,26.945781707763672,122.719970703125,71.3262939453125,71.82817840576172,23.52583312988281,32.38890075683594,85.53436279296875,140.95286560058594,104.17294311523438,87.9537582397461,102.23231506347656,95.11338806152344,54.336673736572266,94.69713592529295,46.54615020751953,51.34151840209961,47.26058578491211,1.607412338256836,70.51123809814453,70.23768615722656,83.4522933959961,95.53972625732422,118.70335388183594,33.33833312988281,77.4411392211914,19.55297088623047
2016-10-14,107.02125549316406,53.68311309814453,127.6141357421875,41.14799880981445,27.095502853393555,122.83036041259766,71.90039825439453,72.03482818603516,23.53362846374512,32.31908416748047,85.70333099365234,143.5628662109375,104.28016662597656,88.55497741699219,102.7178192138672,94.5503921508789,54.16020584106445,93.6140365600586,46.27063751220703,51.79251480102539,46.888160705566406,1.623154640197754,70.66307067871094,73.85746765136719,83.12401580810547,95.55633544921876,118.46453094482422,33.331695556640625,77.98975372314453,19.61601829528809
2016-10-17,106.94588470458984,53.45999526977539,128.18167114257812,40.647499084472656,27.077083587646484,123.29041290283205,71.5887451171875,72.23438262939453,23.5648250579834,32.26480484008789,85.26215362548828,142.28311157226562,103.22435760498048,87.77501678466797,102.93063354492188,95.29835510253906,53.87945556640625,92.2355499267578,45.80898284912109,51.61213302612305,46.35225296020508,1.6138076782226562,70.18363952636719,72.42547607421875,83.4925537109375,95.47329711914062,118.65026092529295,33.431121826171875,77.70598602294922,19.550098419189453
2016-10-18,106.78253173828124,53.62063980102539,128.32351684570312,40.88249969482422,27.058652877807617,124.30250549316406,71.53132629394531,72.54082489013672,23.73637962341309,32.55177307128906,85.58129119873047,145.3392791748047,103.71925354003906,87.63690948486328,100.23714447021484,92.82119750976562,54.30458068847656,91.28375244140624,46.23341751098633,52.009010314941406,46.52483749389648,1.638404369354248,69.87994384765625,72.36579895019531,83.88280487060547,95.63935089111328,126.84160614013672,33.32506561279297,77.16682434082031,19.73638153076172
2016-10-19,106.75739288330078,54.66484832763672,126.96778869628906,40.884498596191406,26.978029251098636,125.29618072509766,72.17102813720703,72.88289642333984,23.666194915771484,32.61381530761719,86.29470825195312,146.9219970703125,103.8429946899414,87.96189880371094,100.59627532958984,92.16169738769533,54.82597732543945,91.29193878173828,46.06959533691406,51.89173889160156,47.05166244506836,1.6349608898162842,68.8814697265625,72.41552734375,84.0840835571289,96.51124572753906,127.70850372314452,33.39798355102539,78.33028411865234,19.74211311340332
2016-10-20,106.72598266601562,59.60029983520508,127.29883575439452,40.51599884033203,26.964208602905277,124.98334503173828,71.67461395263672,72.59782409667969,23.518035888671875,32.52074432373047,86.3885726928711,146.9219970703125,104.13995361328124,87.85626983642578,100.76919555664062,92.38690185546876,54.75379180908203,90.72579193115234,46.10683059692383,51.6391716003418,47.133426666259766,1.6659530401229858,68.3902587890625,72.18679809570312,85.42508697509766,90.93959045410156,128.3277130126953,32.57596969604492,78.03705596923828,19.69625473022461
2016-10-21,106.49976348876952,60.11793518066406,124.94204711914062,40.949501037597656,26.85824966430664,124.7901382446289,71.4264144897461,72.1916275024414,23.510238647460938,32.675872802734375,87.3272705078125,147.05673217773438,104.42864990234376,88.5224609375,99.51224517822266,91.2367935180664,54.938270568847656,93.4827651977539,45.57070159912109,53.81299591064453,47.024410247802734,1.661280393600464,67.9071044921875,73.5889663696289,85.830810546875,89.96809387207031,128.59307861328125,31.952808380126957,77.8951416015625,19.58450126647949
2016-10-24,107.61192321777344,59.8769760131836,125.13912963867188,41.90449905395508,27.10011482238769,126.46467590332033,71.14510345458984,71.73554229736328,23.751972198486328,33.009376525878906,87.64643096923828,147.43560791015625,105.40198516845705,88.76619720458984,100.13741302490234,91.37352752685548,55.24309539794922,93.18739318847656,45.235626220703125,55.02166366577149,47.11524963378906,1.7392524480819702,67.72189331054688,74.64308166503906,86.05997467041016,90.56594848632812,127.99156188964844,31.95943832397461,78.67081451416016,19.82808494567871
2016-10-25,104.44517517089844,59.56459426879883,124.46119689941406,41.75899887084961,27.238319396972656,127.90919494628906,69.89578247070312,71.81392669677734,23.658397674560547,32.99386215209961,87.06443786621094,147.79762268066406,101.73959350585938,88.61182403564453,100.34353637695312,91.6550064086914,55.18693542480469,92.48991394042967,46.12915802001953,55.01264572143555,46.370418548583984,1.7677847146987915,70.032958984375,74.64308166503906,76.68529510498047,90.5327377319336,127.1866226196289,31.71415901184082,77.59249114990234,19.87680053710937
2016-10-26,104.62113189697266,59.6181526184082,125.3204116821289,41.12950134277344,26.62559509277344,133.9080810546875,69.606201171875,72.11322784423828,23.8221492767334,32.91630172729492,87.75908660888672,149.07733154296875,101.21991729736328,88.90431213378906,100.9620590209961,92.1375732421875,55.45164489746094,91.98939514160156,45.32496643066406,54.68792724609375,47.20606994628906,1.7749181985855105,70.37923431396484,74.53369903564453,77.1870346069336,90.3583526611328,125.81550598144533,31.57494735717773,77.32764434814453,19.942710876464844
2016-10-27,104.1498565673828,59.73417663574219,126.5658187866211,40.917999267578125,26.36992073059082,131.85633850097656,68.67955017089844,71.20813751220703,23.68958854675293,32.66810607910156,88.25658416748047,149.64984130859375,100.8487319946289,88.41683959960938,101.98621368408205,93.05443572998048,55.5318717956543,91.96477508544922,45.63771057128906,54.209869384765625,47.133426666259766,1.738514423370361,69.71891784667969,74.32485961914062,76.68220520019531,89.6940689086914,125.5589599609375,32.17820358276367,77.4884262084961,20.011489868164062
2016-10-28,104.15617370605467,59.305789947509766,114.43499755859376,38.81600189208984,26.19485664367676,131.58029174804688,69.39935302734375,73.98751068115234,23.85334205627441,32.75342559814453,88.09701538085938,149.1362762451172,101.9375457763672,89.22927856445312,101.4941177368164,92.75688934326172,55.43559646606445,91.98119354248048,43.81338882446289,54.00241470336914,47.251502990722656,1.735562801361084,69.92826843261719,74.71269226074219,75.79337310791016,90.0345230102539,124.1524658203125,31.95943832397461,77.7721939086914,20.057342529296875
