# Description: DOW30 Galaxy

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"MMM","3M","US Stocks:Industrials","-26.24","-25.72","6.23","8.30","21.98","0.51","21.72","11.11","20.88","29.50","27.93"
"AXP","American Express","US Stocks:Financials","-38.10","-23.01","20.38","20.54","26.76","17.91","26.36","15.70","23.92","23.57","25.82"
"AMGN","Amgen","US Stocks:Healthcare","-2.15","38.61","23.15","24.71","14.95","9.17","19.27","9.86","25.96","24.65","24.29"
"AMZN","Amazon","US Stocks:Consumer Discretionary","37.27","34.31","40.14","37.41","35.30","9.72","27.44","5.00","33.20","27.37","32.85"
"AAPL","Apple","US Stocks:Technology","23.66","1.40","29.13","29.92","18.35","16.02","23.54","11.67","18.71","20.08","24.13"
"BA","Boeing","US Stocks:Industrials","-25.95","1.00","22.93","29.65","2.89","-0.89","34.38","14.60","30.66","33.08","35.23"
"CAT","Caterpillar","US Stocks:Industrials","153.37","138.21","166.66","169.77","55.96","31.20","32.28","12.45","28.89","32.08","34.44"
"CVX","Chevron","US Stocks:Energy","70.23","59.76","43.38","41.88","8.37","18.58","30.32","21.98","21.38","23.70","27.11"
"CSCO","Cisco","US Stocks:Technology","69.20","60.83","61.21","56.69","27.11","14.95","24.02","8.04","18.63","17.55","21.83"
"KO","Coca-Cola","US Stocks:Consumer Staples","39.58","30.29","13.05","12.11","10.49","10.95","21.38","9.09","16.29","15.64","16.27"
"DIS","Disney","US Stocks:Communication Services","-26.91","-17.58","13.60","13.64","1.32","-10.72","19.96","8.06","31.48","30.67","32.59"
"GS","Goldman Sachs","US Stocks:Financials","-10.82","34.12","69.17","73.58","41.51","25.28","26.60","11.22","21.39","24.91","26.99"
"HD","Home Depot","US Stocks:Consumer Discretionary","-43.79","-27.93","-7.27","-5.65","4.90","2.56","30.66","13.45","21.32","23.29","23.22"
"HON","Honeywell","US Stocks:Industrials","-9.43","10.01","13.58","15.87","6.53","1.52","24.79","14.33","23.63","19.65","22.17"
"IBM","IBM","US Stocks:Technology","-63.66","-46.20","-1.45","2.76","26.15","15.47","39.32","29.86","36.24","28.43","26.34"
"JNJ","Johnson & Johnson","US Stocks:Healthcare","1.48","46.09","50.42","51.47","14.95","9.65","16.16","10.13","18.92","18.09","17.31"
"JPM","JPMorgan Chase","US Stocks:Financials","14.07","5.39","29.62","30.37","33.01","18.95","19.10","7.88","14.24","19.39","23.43"
"MCD","McDonald's","US Stocks:Consumer Discretionary","-24.37","-10.39","-6.32","-5.55","1.97","6.88","18.04","12.75","17.10","15.73","16.93"
"MRK","Merck","US Stocks:Healthcare","19.51","64.09","38.21","37.81","1.61","11.79","26.96","16.62","28.35","22.65","23.57"
"MSFT","Microsoft","US Stocks:Technology","-39.12","-35.70","9.34","10.38","15.53","11.46","29.12","14.13","29.67","22.53","24.03"
"NKE","Nike","US Stocks:Consumer Discretionary","-73.43","-57.01","-20.60","-19.89","-28.23","-18.00","59.60","53.61","31.86","30.55","32.65"
"NVDA","Nvidia","US Stocks:Technology","42.53","19.44","92.49","92.07","97.85","69.83","27.79","9.54","36.73","42.01","50.89"
"PG","Procter & Gamble","US Stocks:Consumer Staples","0.61","-4.08","-6.91","-4.69","0.42","4.32","21.97","9.74","21.38","17.86","18.31"
"CRM","Salesforce","US Stocks:Technology","-59.66","-49.27","-31.27","-31.80","-1.92","-4.49","46.26","33.27","30.74","32.10","34.95"
"SHW","Sherwin-Williams","US Stocks:Materials","-31.06","-9.74","-3.46","-1.34","11.33","4.26","35.35","16.53","20.83","27.59","28.47"
"TRV","Travelers Companies, Inc.","US Stocks:Financials","33.82","26.91","17.37","21.52","21.26","16.44","19.25","11.35","15.86","17.53","19.72"
"UNH","UnitedHealth Group","US Stocks:Healthcare","160.75","5.63","-9.24","-9.92","-7.00","0.37","39.48","3.53","58.81","40.83","34.36"
"VZ","Verizon","US Stocks:Communication Services","107.69","50.53","17.36","20.31","15.42","2.11","23.10","10.58","19.83","21.36","20.22"
"V","Visa","US Stocks:Financials","10.90","-6.56","-0.04","-7.03","13.75","8.83","31.90","7.51","17.44","16.32","19.67"
"WMT","Walmart","US Stocks:Consumer Staples","46.62","51.37","35.63","35.37","37.55","24.04","25.41","15.09","13.40","17.60","19.27"
