Date,ADTN,EHC,LAKE,MPT,PRA,RF,ROAD,TBRG,VMC
2019-01-02,9.5813627243042,44.54534912109375,10.360064506530762,8.968094825744629,36.79514694213867,10.080212593078612,9.5600004196167,24.996484756469727,91.47559356689452
2019-01-03,9.607852935791016,43.752872467041016,10.262236595153809,9.24350357055664,36.43349456787109,10.06546401977539,9.65999984741211,24.869895935058597,90.53824615478516
2019-01-04,9.943424224853516,44.828895568847656,10.594853401184082,9.209076881408691,37.99135971069336,10.434165000915527,9.550000190734863,25.415203094482425,95.1687469482422
2019-01-07,10.190682411193848,45.94851303100586,10.849207878112791,9.363995552062988,37.84299087524414,10.611138343811035,9.75,25.81444549560547,97.06220245361328
2019-01-08,10.446775436401367,46.91547775268555,11.191611289978027,9.530388832092283,37.68534851074219,10.721745491027832,10.489999771118164,26.184476852416992,96.67787170410156
2019-01-09,10.543911933898926,47.43893814086914,11.367701530456545,9.467275619506836,37.75953674316406,10.839730262756348,10.40999984741211,26.340274810791016,96.94031524658205
2019-01-10,10.38496208190918,46.77007675170898,11.348135948181152,9.478748321533203,37.907901763916016,10.847105979919434,10.359999656677246,26.44739151000977,96.57476043701172
2019-01-11,10.402621269226074,47.26445770263672,11.309004783630373,9.524652481079102,38.06553649902344,10.898723602294922,10.989999771118164,26.272111892700195,95.25309753417967
2019-01-14,10.26132869720459,47.30081558227539,11.01551914215088,9.415634155273438,37.98208236694336,11.031454086303713,11.06999969482422,25.678119659423828,95.62805938720705
2019-01-15,10.252497673034668,47.94786834716797,11.064433097839355,9.484485626220703,38.00062942504883,11.142064094543455,10.5,25.863134384155277,94.118896484375
2019-01-16,10.393790245056152,47.86790084838867,11.269872665405272,9.713996887207031,39.094844818115234,11.35590934753418,10.84000015258789,25.639169692993164,93.9408187866211
2019-01-17,10.482100486755373,48.31864929199219,11.074213981628418,9.777113914489746,38.92792892456055,11.510762214660645,10.739999771118164,26.47660446166992,94.85000610351562
2019-01-18,10.49975872039795,48.33319854736328,11.299221992492676,9.80580234527588,39.577030181884766,11.577129364013672,11.149999618530272,26.340274810791016,97.11840057373048
2019-01-22,10.402621269226074,47.976959228515625,11.03508186340332,9.748425483703612,39.00210571289063,11.496016502380373,11.600000381469728,25.989721298217773,95.45930480957033
2019-01-23,10.83533000946045,48.6894416809082,10.83942699432373,9.83448886871338,39.42866516113281,11.33378791809082,11.4399995803833,26.301326751708984,93.23780822753906
2019-01-24,11.974493980407717,47.860626220703125,10.770946502685549,9.845967292785645,39.15974807739258,11.437024116516112,11.600000381469728,26.496076583862305,93.77208709716795
2019-01-25,12.398369789123535,49.02388000488281,10.71224880218506,10.064001083374023,39.15974807739258,11.540258407592772,11.8100004196167,26.21368789672852,94.45635986328124
2019-01-28,12.972367286682127,48.674903869628906,10.800294876098633,10.115639686584473,39.261749267578125,11.562381744384766,11.850000381469728,25.61968994140625,96.21857452392578
2019-01-29,12.848739624023438,49.132938385009766,10.800294876098633,10.195966720581056,39.39157485961914,11.451769828796388,11.890000343322754,25.366512298583984,95.57179260253906
2019-01-30,12.972367286682127,48.48588180541992,11.15247917175293,10.327936172485352,39.29884338378906,11.378029823303224,12.0,25.3470401763916,94.67195892333984
