# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"AAMI","Acadian Asset Management Inc.","US Stocks:Financials","93.49","73.41","142.50","149.13","41.06","23.40","33.66","12.65","35.71","34.70","35.93"
"AAP","Advance Auto Parts, Inc.","US Stocks:Consumer Discretionary","62.71","0.07","74.26","75.54","-22.44","-20.66","36.91","20.14","63.40","59.56","50.42"
"AAT","American Assets Trust","US Stocks:Real Estate","88.34","11.20","15.17","23.62","11.39","-4.57","26.19","17.99","19.86","25.46","26.94"
"ABCB","Ameris Bancorp","US Stocks:Financials","26.73","29.77","49.68","54.61","37.38","13.05","19.30","7.17","14.36","30.50","31.19"
"ABG","Asbury Automotive Group","US Stocks:Consumer Discretionary","-53.51","-26.14","-10.27","-10.28","-0.89","-0.45","23.31","13.38","21.19","32.91","36.07"
"ABM","ABM Industries, Inc.","US Stocks:Industrials","-35.88","-21.17","-15.90","-14.15","0.27","-3.62","14.24","6.63","24.07","24.22","25.09"
"ABR","Arbor Realty Trust","US Stocks:Financials","17.86","-51.13","-23.55","-19.36","2.49","-4.03","29.57","20.26","31.34","32.62","36.06"
"ACA","Arcosa, Inc.","US Stocks:Industrials","12.78","57.34","45.54","47.23","25.39","13.65","27.79","11.69","21.83","28.29","28.03"
"ACAD","Acadia Pharmaceuticals","US Stocks:Healthcare","-43.62","-6.75","51.43","53.90","3.30","1.24","29.71","15.48","53.47","52.45","47.90"
"ACHC","Acadia Healthcare","US Stocks:Healthcare","1854.75","51.63","27.41","24.51","-27.41","-14.41","34.81","18.73","82.61","62.11","51.59"
"ACIW","ACI Worldwide","US Stocks:Technology","0.92","-24.60","-17.39","-16.13","20.64","1.63","31.35","18.09","28.70","32.48","33.69"
"ACLS","Axcelis Technologies, Inc.","US Stocks:Technology","360.05","157.58","174.92","168.90","1.97","26.00","51.44","15.68","54.78","53.68","56.02"
"ACMR","ACM Research, Inc.","US Stocks:Technology","-42.18","31.47","133.89","133.30","68.00","12.06","63.01","30.76","74.13","79.02","81.37"
"ACT","Enact Holdings, Inc.","US Stocks:Financials","62.75","55.79","28.43","29.04","26.31","26.31","14.71","6.62","18.35","17.41","20.32"
"ADAM","Adamas Trust, Inc.","US Stocks:Real Estate","-19.11","42.02","52.88","63.50","3.22","-4.12","26.93","17.63","25.25","26.74","28.83"
"ADEA","Adeia, Inc.","US Stocks:Technology","685.90","206.56","151.48","146.71","58.74","30.07","27.88","6.70","55.90","52.18","58.44"
"ADMA","ADMA Biologics, Inc.","US Stocks:Healthcare","-82.25","-53.83","-56.75","-50.14","45.52","41.03","38.62","15.33","56.37","61.30","53.42"
"ADNT","Adient","US Stocks:Consumer Discretionary","-11.68","-21.28","66.91","68.50","-18.51","-14.48","33.00","12.93","46.12","38.13","40.13"
"ADT","ADT Inc.","US Stocks:Consumer Discretionary","-31.57","-30.62","-7.22","-5.77","4.57","-1.91","21.00","7.19","21.77","24.49","27.94"
"ADUS","Addus HomeCare Corp.","US Stocks:Healthcare","-19.87","-36.27","-4.03","-1.73","-5.08","-2.33","26.21","12.79","20.24","26.78","29.47"
"AEO","American Eagle Outfitters","US Stocks:Consumer Discretionary","-69.16","5.21","60.11","60.13","10.88","-11.74","50.90","18.34","62.29","51.36","49.88"
"AESI","Atlas Energy Solutions, Inc.","US Stocks:Energy","370.26","156.96","24.41","24.90","1.53","1.53","62.47","35.93","65.52","50.99","50.36"
"AGNT","eXp World Holdings, Inc.","US Stocks:Real Estate","-77.46","-68.18","-27.57","-24.80","-17.18","-27.41","38.44","20.01","40.73","55.54","61.10"
"AGO","Assured Guaranty Ltd.","US Stocks:Financials","-7.21","-0.51","-6.36","-2.97","16.58","13.80","17.40","10.92","16.70","20.56","27.28"
"AGX","Argan, Inc.","US Stocks:Industrials","853.28","358.10","317.25","318.55","153.74","68.63","35.23","15.88","53.23","44.27","39.61"
"AGYS","Agilysys, Inc.","US Stocks:Technology","-65.35","-67.41","-11.03","-10.23","-7.63","5.28","49.09","32.71","57.93","49.59","43.07"
"AHCO","AdaptHealth Corp.","US Stocks:Healthcare","241.77","93.21","60.29","59.10","2.55","-14.88","30.30","15.81","33.10","46.61","53.74"
"AIN","Albany International Corp.","US Stocks:Industrials","21.56","-5.80","-11.16","-14.82","-12.70","-6.39","40.28","18.33","41.76","36.58","33.57"
"AIR","AAR CORP.","US Stocks:Industrials","6.41","56.11","97.59","105.98","25.18","21.56","44.47","23.60","35.90","35.32","34.54"
"AKR","Acadia Realty Trust","US Stocks:Real Estate","61.52","24.01","13.98","12.69","23.25","5.21","18.22","8.49","19.52","23.13","25.96"
"ALG","Alamo Group","US Stocks:Industrials","-39.02","-16.57","0.49","0.80","-1.99","2.06","31.52","15.88","40.21","34.26","32.29"
"ALGT","Allegiant Travel Company","US Stocks:Industrials","-45.58","29.52","62.54","68.71","-8.55","-19.83","60.25","29.76","44.29","58.71","52.97"
"ALHC","Alignment Healthcare, Inc.","US Stocks:Healthcare","-6.36","49.40","22.78","25.00","59.53","-1.14","64.17","16.82","42.65","53.73","59.94"
"ALKS","Alkermes plc","US Stocks:Healthcare","-2.22","28.65","20.78","22.63","4.93","10.01","33.56","19.66","33.87","30.43","31.24"
"ALRM","Alarm.Com, Inc.","US Stocks:Financials","-30.77","-25.54","-16.84","-15.08","-2.52","-13.19","33.55","22.76","19.94","31.45","29.19"
"AMN","Amn Healthcare Services, Inc.","US Stocks:Healthcare","13.74","1.43","9.35","9.07","-37.84","-23.08","36.21","17.57","46.91","49.58","44.42"
"AMPH","Amphstar Pharmaceuticals, Inc.","US Stocks:Healthcare","-52.97","-19.04","-11.39","-9.80","-19.14","4.21","40.74","26.57","57.44","50.21","45.79"
"AMR","Alpha Metallurgical Resources, Inc.","US Stocks:Materials","-39.79","33.53","52.59","54.83","6.38","71.71","58.18","34.33","51.14","53.22","65.98"
"AMRX","Amneal Pharmaceuticals","US Stocks:Healthcare","-29.12","55.95","67.98","70.25","94.11","17.56","36.55","18.19","29.78","41.35","50.61"
"AMSF","Amerisafe, Inc.","US Stocks:Financials","-46.76","-38.85","-33.14","-30.65","-9.53","-6.06","44.66","34.84","18.60","20.59","24.14"
"AMTM","Amentum","US Stocks:Industrials","-74.64","27.29","16.03","18.16","16.03","16.03","30.87","18.54","45.09","44.56","44.56"
"ANDE","The Andersons, Inc.","US Stocks:Consumer Staples","164.66","178.57","106.91","104.86","22.71","25.37","24.65","14.11","25.21","29.86","34.49"
"ANIP","ANI Pharmaceuticals, Inc.","US Stocks:Healthcare","-7.53","-29.50","10.20","12.43","26.29","18.06","31.52","15.55","53.58","41.97","39.93"
"AORT","Artivion","US Stocks:Healthcare","-50.46","-40.05","45.98","52.39","35.03","8.83","48.85","31.93","49.92","44.77","44.66"
"AOSL","Alpha and Omega Semiconductor, Ltd.","US Stocks:Technology","910.26","71.95","110.40","103.65","17.24","5.74","89.49","27.57","85.57","68.74","65.63"
"APAM","Artisan Partners Asset Management, Inc.","US Stocks:Financials","-45.51","-24.71","7.47","11.50","9.89","0.77","24.54","13.02","22.74","29.57","35.29"
"APLE","Apple Hospitality REIT, Inc.","US Stocks:Real Estate","106.12","43.99","22.36","22.05","2.76","3.44","18.88","5.19","24.46","20.06","23.42"
"APOG","Apogee Enterprises, Inc.","US Stocks:Industrials","-21.13","-13.59","-8.00","-3.56","-4.21","2.26","45.52","18.75","25.69","36.08","33.18"
"ARCB","ArcBest Corp.","US Stocks:Industrials","379.03","188.55","116.40","120.13","10.44","13.13","29.98","6.69","44.19","45.48","46.73"
"ARI","Apollo Commercial Real Estate Finance","US Stocks:Real Estate","12.57","21.22","26.43","32.74","17.41","5.32","19.00","11.12","15.90","22.74","33.39"
"ARLO","Arlo Technologies","US Stocks:Technology","40.82","-46.79","41.62","41.13","29.07","17.69","39.23","20.58","61.98","59.70","60.73"
"AROC","Archrock, Inc.","US Stocks:Energy","230.79","127.60","58.96","60.87","61.91","39.62","19.57","9.58","25.54","29.45","32.17"
"ARR","Armour Residential REIT","US Stocks:Real Estate","-10.17","30.80","24.94","30.91","4.19","-8.14","23.10","13.40","16.92","28.66","30.99"
"ASO","Academy Sports + Outdoors","US Stocks:Consumer Discretionary","-11.10","17.61","41.78","43.90","-7.07","12.61","29.46","18.42","23.99","38.76","38.79"
"ASTE","Astec Industries, Inc.","US Stocks:Industrials","176.92","66.19","75.86","73.27","15.57","-3.08","39.40","17.11","37.92","43.57","46.75"
"ASTH","Astrana Health, Inc.","US Stocks:Healthcare","542.06","12.28","13.92","14.02","-2.29","5.34","36.89","10.98","70.02","61.94","73.47"
"ATEN","A10 Networks, Inc.","US Stocks:Technology","340.12","127.21","64.55","72.76","23.87","25.68","41.74","23.11","27.26","32.96","37.41"
