Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
HIW,Highwoods Properties,Real Estate,Office REITs,"Raleigh, North Carolina",view,921082
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,"San Jose, California",view,851310
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,866829
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,"Springfield, Illinois",view,850141
HNI,HNI Corporation,Industrials,Office Services & Supplies,"Muscatine, Iowa",view,48287
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,"Los Angeles, California",view,1128361
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",view,46765
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,"Plymouth Meeting, Pennsylvania",view,1802665
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,"Nashville, Tennessee",view,1095565
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,"Dallas, Texas",view,1265131
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,"North Liberty, Iowa",view,799233
HTO,H2O America,Utilities,Water Utilities,"San Jose, California",view,766829
HTZ,Hertz,Industrials,Passenger Ground Transportation,"Estero, Florida",view,1657853
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,"Oak Brook, Illinois",view,940942
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,"Roseville, Minnesota",view,46250
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,"Clearwater, Florida",view,1057060
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,"Princeton, New Jersey",view,917520
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",view,1580905
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Materials & Equipment,"Fremont, California",view,1652535
ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California",view,883984
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,"Mount Airy, North Carolina",view,764401
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,"Park City, Utah",view,1677576
INDB,Independent Bank Corp.,Financials,Regional Banks,"Rockland, Massachusetts",view,776901
INDV,Indivior,Health Care,Pharmaceuticals,"Chesterfield County, Virginia",view,1625297
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,"Golden Valley, Minnesota",view,1609550
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,"New York City, New York",view,1679049
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,"Burlingame, California",view,1080014
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1042893
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,"Englewood, Colorado",view,1054905
IPAR,"Inter Parfums, Inc.",Consumer Staples,Household Products,"New York City, New York",view,822663
IRDM,Iridium Communications,Communication Services,Alternative Carriers,"McLean, Virginia",view,1418819
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,"Plano, Texas",view,1114483
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington",view,780571
JBGS,JBG Smith,Real Estate,Office REITs,"Bethesda, Maryland",view,1689796
JBLU,JetBlue,Industrials,Passenger Airlines,"Long Island City, New York",view,1158463
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,"Elgin, Illinois",view,880117
JBTM,JBT Marel Corporation,Industrials,Industrial Machinery & Supplies & Components,"Chicago, Illinois",view,1433660
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey",view,785956
JOE,St. Joe Company,Real Estate,Real Estate Development,"Panama City Beach, Florida",view,745308
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,"Lansing, Michigan",view,1822993
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,"Westford, Massachusetts",view,886346
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,"Franklin, Tennessee",view,811596
OPLN,"OPENLANE, Inc.",Industrials,Diversified Support Services,"Carmel, Indiana",view,1395942
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,"Los Angeles, California",view,56679
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services,"The Woodlands, Texas",view,1767042
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Materials & Equipment,"Serangoon, North-East Region, Singapore",view,56978
KMPR,Kemper Corporation,Financials,Multi-line Insurance,"Chicago, Illinois",view,860748
KMT,Kennametal,Industrials,Industrial Machinery & Supplies & Components,"Pittsburgh, Pennsylvania",view,55242
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,"Richmond, Virginia",view,1170010
KN,Knowles Corporation,Information Technology,Electronic Components,"Itasca, Illinois",view,1587523
KNTK,"Kinetik Holdings, Inc.",Energy,Oil & Gas Storage & Transportation,"Midland, Texas",view,1692787
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania",view,1315257
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,"Pittsburgh, Pennsylvania",view,1711279
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,"Menomonee Falls, Wisconsin",view,885639
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",view,1760965
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,"Beverly Hills, California",view,1408100
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania",view,81362
LAUR,"Laureate Education, Inc.",Consumer Discretionary,Education Services,"Miami, Florida",view,912766
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,"Denver, Colorado",view,1694028
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment,"Elkhart, Indiana",view,763744
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",view,58492
LFST,Lifestance Health,Health Care,Health Care Services,"Scottsdale, Arizona",view,1845257
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,"The Woodlands, Texas",view,1580670
LIF,Life360,Information Technology,Application Software,"San Mateo, California",view,1581760
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,"San Diego, California",view,886163
LKFN,Lakeland Financial,Financials,Regional Banks,"Warsaw, Indiana",view,721994
