# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"ADBE","Adobe Inc.","US Stocks","-56.30","-53.66","-33.92","-33.86","-13.58","-13.65","45.52","26.42","25.58","32.26","35.91"
"AMD","Advanced Micro Devices","US Stocks","216.51","68.54","249.74","234.41","56.73","33.65","61.05","17.38","87.99","64.61","63.26"
"ABNB","Airbnb","US Stocks","29.31","18.12","13.77","13.49","6.50","-3.85","28.17","10.08","24.60","30.15","36.96"
"ALNY","Alnylam Pharmaceuticals","US Stocks","-44.90","-60.39","18.18","20.09","13.72","16.93","35.12","21.68","36.34","47.88","48.10"
"GOOGL","Alphabet Inc. (Class A)","US Stocks","17.97","69.35","118.64","116.72","49.32","25.66","24.08","6.67","30.80","28.27","29.20"
"GOOG","Alphabet Inc. (Class C)","US Stocks","14.10","66.00","114.57","112.82","48.57","25.30","22.65","6.37","30.48","27.76","28.90"
"AMZN","Amazon","US Stocks","37.27","34.31","40.14","37.41","35.30","9.72","27.44","5.00","33.20","27.37","32.85"
"AEP","American Electric Power","US Stocks","67.44","37.69","29.76","31.27","16.88","12.89","15.37","6.49","18.20","18.54","19.03"
"AMGN","Amgen","US Stocks","-2.15","38.61","23.15","24.71","14.95","9.17","19.27","9.86","25.96","24.65","24.29"
"ADI","Analog Devices","US Stocks","128.52","160.09","104.03","99.96","29.87","22.26","37.11","10.90","33.69","29.52","29.27"
"AAPL","Apple Inc.","US Stocks","23.66","1.40","29.13","29.92","18.35","16.02","23.54","11.67","18.71","20.08","24.13"
"AMAT","Applied Materials","US Stocks","67.44","175.29","155.99","153.72","51.19","24.82","45.50","22.27","40.05","36.95","37.90"
"APP","AppLovin","US Stocks","-55.32","-52.46","55.60","62.20","203.51","48.17","59.85","28.48","79.55","85.77","81.61"
"ARM","Arm Holdings","US Stocks","1031.88","27.50","79.95","75.27","79.95","79.95","85.55","39.60","61.27","83.55","83.55"
"ASML","ASML Holding","US Stocks","-6.57","74.81","108.84","106.67","31.75","17.73","47.04","21.96","44.85","37.45","40.22"
"ADSK","Autodesk","US Stocks","-40.29","-43.40","-13.11","-13.00","6.40","-3.91","43.19","30.66","18.75","25.13","31.52"
"ADP","Automatic Data Processing","US Stocks","-44.03","-39.48","-24.90","-30.02","2.25","4.20","36.86","15.36","20.32","19.45","21.86"
"AXON","Axon Enterprise","US Stocks","-71.84","-71.40","-33.52","-32.71","21.29","21.12","65.41","46.94","47.06","50.15","47.47"
"BKR","Baker Hughes","US Stocks","121.29","121.78","93.88","89.41","34.64","31.47","35.00","10.93","32.44","32.95","37.85"
"BKNG","Booking Holdings","US Stocks","-45.99","-30.90","-10.37","-9.73","18.25","13.55","41.77","22.65","23.17","25.07","28.89"
"AVGO","Broadcom","US Stocks","120.98","26.42","112.36","109.59","88.04","58.00","40.37","16.14","42.83","43.93","39.60"
"CDNS","Cadence Design Systems","US Stocks","12.34","-11.84","15.47","12.32","15.71","18.69","52.52","27.89","30.28","27.60","29.77"
"CHTR","Charter Communications","US Stocks","-43.28","-58.22","-57.90","-53.67","-21.73","-24.75","101.05","90.42","46.22","42.33","40.75"
"CTAS","Cintas","US Stocks","-27.83","-14.20","-15.77","-15.68","15.97","15.89","17.09","8.10","21.89","22.56","23.01"
"CSCO","Cisco","US Stocks","69.20","60.83","61.21","56.69","27.11","14.95","24.02","8.04","18.63","17.55","21.83"
"CCEP","Coca-Cola Europacific Partners","US Stocks","12.50","8.26","9.32","13.57","17.97","14.15","26.54","14.48","29.46","20.61","22.79"
"CTSH","Cognizant","US Stocks","-81.02","-34.16","-23.29","-22.26","-1.13","-5.61","33.62","24.13","30.93","25.05","25.08"
"CMCSA","Comcast","US Stocks","-17.56","-1.33","-11.74","-9.19","-5.24","-9.35","57.64","45.01","22.95","22.53","25.39"
"CEG","Constellation Energy","US Stocks","13.78","-42.06","32.78","37.79","57.80","57.80","42.50","19.48","52.29","49.98","46.46"
"CPRT","Copart","US Stocks","-54.67","-43.03","-44.27","-45.25","-5.32","1.64","14.14","9.83","22.45","26.85","28.12"
"COST","Costco","US Stocks","17.37","15.99","2.62","2.28","26.70","23.23","18.62","12.65","15.85","19.27","23.06"
"CRWD","CrowdStrike","US Stocks","-13.58","-27.06","6.93","7.09","51.38","15.86","51.55","31.34","36.54","48.65","47.89"
"CSX","CSX Corporation","US Stocks","106.83","56.20","62.76","64.94","14.14","7.09","27.83","7.58","22.20","22.46","25.43"
"DDOG","Datadog","US Stocks","-17.45","-27.75","31.69","29.58","26.80","9.58","51.41","27.28","35.04","48.94","45.66"
"DXCM","DexCom","US Stocks","-62.10","-33.59","-19.13","-17.22","-22.54","-10.92","33.52","18.51","35.66","43.90","48.30"
"FANG","Diamondback Energy","US Stocks","175.85","107.43","53.04","50.28","16.93","27.50","32.49","22.08","16.94","23.66","32.89"
"DASH","DoorDash","US Stocks","-54.93","-58.66","-9.87","-8.41","41.41","3.30","51.20","19.83","43.77","39.86","46.52"
"EA","Electronic Arts","US Stocks","-2.10","2.56","38.73","38.74","16.71","8.06","4.05","3.22","22.48","23.63","24.54"
"EXC","Exelon","US Stocks","26.00","-0.97","4.76","5.40","6.57","11.76","15.23","9.17","16.19","16.82","18.37"
"FAST","Fastenal","US Stocks","5.29","9.01","11.41","13.01","19.88","13.88","37.46","24.93","23.48","22.98","23.48"
"FER","Ferrovial","US Stocks","-4.09","8.89","41.13","42.73","34.23","22.88","30.10","10.99","20.70","18.69","22.21"
"FTNT","Fortinet","US Stocks","21.13","1.93","-16.10","-15.80","9.13","16.44","36.97","25.08","25.02","34.15","35.41"
"GEHC","GE HealthCare","US Stocks","-68.21","-42.26","-12.46","0.30","-12.01","-12.01","54.84","44.90","25.69","29.15","30.33"
"GILD","Gilead Sciences","US Stocks","-26.04","17.21","24.38","28.62","18.05","18.78","18.48","12.88","20.53","21.21","23.48"
"HON","Honeywell","US Stocks","-9.43","10.01","13.58","15.87","6.53","1.52","24.79","14.33","23.63","19.65","22.17"
"IDXX","Idexx Laboratories","US Stocks","-58.00","-26.86","27.57","29.91","3.21","0.27","31.60","18.45","37.90","33.99","35.71"
"INSM","Insmed Incorporated","US Stocks","-43.71","-32.23","93.29","93.63","92.57","30.99","31.84","25.63","63.82","81.57","70.21"
"INTC","Intel","US Stocks","1323.47","474.23","361.97","321.55","48.47","10.73","96.50","15.98","114.00","80.68","67.34"
"INTU","Intuit","US Stocks","-70.71","-66.25","-35.57","-35.33","-3.02","0.08","53.41","32.84","40.33","30.38","30.92"
"ISRG","Intuitive Surgical","US Stocks","-42.88","-32.22","-11.71","-9.32","14.74","9.63","37.13","17.23","28.97","28.20","34.61"
"KDP","Keurig Dr Pepper","US Stocks","42.55","1.35","-12.16","-13.50","-3.74","-1.79","35.93","16.02","25.64","20.55","19.20"
"KLAC","KLA Corporation","US Stocks","56.01","124.74","163.79","162.40","71.16","42.56","45.13","19.03","33.55","31.28","33.15"
