Date,TLT,USO,FXE,TIP,DBA,DBB,DBP,JPST,CYB,BNDX,UGA,XLI,XLE,QQQ,BWZ,SLV,XLU,FUT,BWX,CANE,XLC,MDY,VXUS,XLV,SPY,FXF,EEM,IWM,VPL,PPLT,IWD,IYR,DBC,XLK,JNK,GLD,CORN,VNQ,FXB,XLY,PALL,VOO,UNG,IEI,XLB,XLP,FXA,EFA,AOK,AOR,EBND,AOM,VTI,VTSMX,UUP,FXY,AOA,CPER,IBND,BIL,DBV,DBE,FXC,LQD,IEUR,PFF,XLRE,AGG,XLF
2015-01-02,110.68862915039062,159.1199951171875,118.1999969482422,102.52691650390624,24.002124786376953,15.397077560424805,35.788917541503906,,24.263511657714844,46.715904235839844,33.220001220703125,50.02500534057617,62.12773132324219,97.67279815673828,31.133092880249023,15.109999656677244,38.72417449951172,,26.49710464477539,11.59000015258789,,243.1482391357422,40.67076873779297,62.0567855834961,182.7465667724609,97.41000366210938,34.113250732421875,109.49737548828124,48.58513641357422,116.56999969482422,90.25751495361328,62.76303482055664,17.712509155273438,37.65532684326172,81.6597671508789,114.08000183105469,26.479999542236328,63.94797134399414,150.61000061035156,66.00424957275389,77.11000061035156,167.29324340820312,59.84000015258789,111.61492156982422,43.06679153442383,41.131324768066406,77.3045883178711,51.13966369628906,28.26212501525879,34.34568023681641,24.18537139892578,30.43694305419922,94.52745819091795,46.326454162597656,23.450498580932614,80.72000122070312,39.44899368286133,19.020000457763672,33.46751022338867,87.21461486816406,24.63214683532715,16.35684585571289,83.43407440185547,98.33411407470705,36.475502014160156,28.41061210632324,,94.93927764892578,17.835180282592773
2015-01-05,112.42738342285156,150.32000732421875,117.54000091552734,102.60874938964844,24.29435920715332,15.24233341217041,36.43148040771485,,24.25386047363281,46.69838333129883,31.76000022888184,48.856483459472656,59.55764770507813,96.24006652832031,31.21128845214844,15.5,38.25072860717773,,26.43939208984375,11.449999809265135,,239.55010986328125,39.77652359008789,61.74029541015625,179.44625854492188,96.91000366210938,33.50613021850586,108.0334701538086,47.97707748413086,117.5999984741211,88.65858459472656,62.97284317016602,17.459890365600586,37.08051681518555,81.08979034423828,115.8000030517578,27.1200008392334,64.29795837402344,149.82000732421875,64.74187469482422,77.08999633789062,164.35409545898438,59.47999954223633,111.869873046875,41.969093322753906,40.84209442138672,77.23773956298828,49.93251037597656,28.080183029174805,33.934558868408196,23.954137802124023,30.185688018798828,92.90320587158205,45.5086669921875,23.49894905090332,81.30999755859375,38.826072692871094,19.020000457763672,33.30129623413086,87.23370361328125,24.62240600585937,15.690205574035645,83.52291107177734,98.73619842529295,35.38542556762695,28.303014755249023,,95.14559173583984,17.460161209106445
2015-01-06,114.4530029296875,144.39999389648438,117.16000366210938,102.61786651611328,24.45995903015137,15.077916145324707,36.918270111083984,,24.263511657714844,46.803466796875,31.1200008392334,48.25452423095703,58.68270874023438,94.94965362548828,31.22106742858887,15.829999923706055,38.27522659301758,,26.52115631103516,11.859999656677244,,236.74545288085938,39.47282028198242,61.5323371887207,177.75607299804688,96.66000366210938,33.365333557128906,106.16448211669922,47.48035430908203,118.54000091552734,87.82022094726562,63.43272018432617,17.294713973999027,36.63343811035156,80.70977783203125,117.12000274658205,27.04999923706055,64.93572998046875,148.80999755859375,64.09683227539061,77.81999969482422,162.73797607421875,59.72000122070313,112.21591186523438,41.5973014831543,40.79104995727539,77.31410217285156,49.36691665649414,28.002201080322266,33.737564086914055,23.86849594116211,30.021074295043945,91.992919921875,45.068321228027344,23.547399520874023,82.11000061035156,38.56154251098633,18.739999771118164,33.25241470336914,87.21461486816406,24.525007247924805,15.207132339477539,82.96038818359375,99.13823699951172,35.033248901367195,28.33172035217285,,95.3863525390625,17.193317413330078
2015-01-07,114.22699737548828,146.9600067138672,116.48999786376952,102.69969940185548,24.34306526184082,15.029559135437012,36.76249694824219,,24.302101135253906,46.76844024658203,30.690000534057614,48.61747741699219,58.80769729614258,96.17366027832031,31.084217071533203,15.850000381469727,38.65071105957031,,26.44901466369629,11.710000038146973,,239.9468078613281,39.93681335449219,62.97907257080078,179.9711151123047,96.13999938964844,34.086856842041016,107.4718780517578,48.09697341918945,118.31999969482422,88.72774505615234,64.25566864013672,17.18783950805664,36.94364547729492,81.15311431884766,116.43000030517578,26.520000457763672,65.93126678466797,148.3699951171875,65.11044311523439,76.80000305175781,164.77137756347656,58.31999969482422,112.31609344482422,42.06646347045898,41.48862075805664,77.07547760009766,49.9156265258789,28.123504638671875,34.03734588623047,24.1596736907959,30.23767280578613,93.09062957763672,45.60751342773438,23.63461303710937,81.66000366210938,38.93701553344727,18.739999771118164,32.959091186523445,87.21461486816406,24.710063934326172,15.197470664978027,82.9900131225586,99.26959228515624,35.35188674926758,28.39627456665039,,95.36915588378906,17.373613357543945
2015-01-08,112.71426391601562,148.39999389648438,116.08000183105469,102.53600311279295,24.255393981933594,15.184303283691404,36.509368896484375,,24.302101135253906,46.75092315673828,30.88999938964844,49.59125137329102,60.12791442871094,98.01438903808594,31.084217071533203,15.640000343322756,38.92007827758789,,26.41052436828613,12.06999969482422,,243.6648406982422,40.44298934936523,64.05511474609375,183.16470336914062,95.73999786376952,34.66757583618164,109.2948226928711,48.68791198730469,118.11000061035156,90.29207611083984,64.61874389648439,17.255851745605472,37.75571060180664,81.7020034790039,115.94000244140624,26.3799991607666,66.18015289306639,148.1300048828125,66.08718872070311,76.76000213623047,167.66619873046875,59.7599983215332,112.1794891357422,43.06679153442383,42.11813735961914,77.4955062866211,50.59096145629883,28.27946281433105,34.362815856933594,24.25388145446777,30.43694305419922,94.7327117919922,46.4073371887207,23.73151588439941,81.31999969482422,39.45753479003906,18.68000030517578,32.773330688476555,87.21461486816406,24.99251937866211,15.352054595947266,82.92090606689453,98.94955444335938,35.81306838989258,28.43212890625,,95.22299194335938,17.633251190185547
2015-01-09,113.94879913330078,146.24000549316406,116.61000061035156,102.84521484375,24.19694709777832,15.058572769165039,36.90853500366211,,24.34069061279297,46.72466278076172,30.399999618530273,49.06010055541992,59.65137481689453,97.36917877197266,31.16241455078125,15.770000457763672,38.67520523071289,,26.51154136657715,11.960000038146973,,241.6075592041016,40.274261474609375,63.4854621887207,181.6968994140625,96.18000030517578,34.55318832397461,108.2452392578125,48.508056640625,119.3000030517578,89.46237182617188,64.64295959472656,17.226703643798828,37.6370735168457,82.14539337158203,117.26000213623048,26.649999618530273,66.21127319335939,148.92999267578125,65.3223876953125,77.83000183105469,166.25433349609375,59.959999084472656,112.5073013305664,42.84548950195313,41.77786254882813,78.36422729492188,50.34614562988281,28.21880149841309,34.22576904296875,24.236757278442386,30.402286529541016,93.94738006591795,46.0298843383789,23.62492370605469,82.06999969482422,39.32101821899414,18.61000061035156,32.84175491333008,87.21461486816406,24.93408203125,15.274763107299805,82.74324035644531,99.21214294433594,35.67890548706055,28.453649520874023,,95.45513916015624,17.395256042480472
2015-01-12,114.60082244873048,139.27999877929688,116.52999877929688,102.81794738769531,24.0216064453125,14.961858749389648,37.31744384765625,,24.35033798217773,46.82973861694336,29.479999542236328,48.72370910644531,57.93278884887695,96.35392761230469,31.23083686828613,15.869999885559082,38.58540725708008,,26.583688735961914,11.760000228881836,,240.3159484863281,40.11397933959961,63.5125617980957,180.2735595703125,96.13999938964844,34.27162933349609,107.88617706298828,48.37104034423828,120.4000015258789,88.84007263183594,64.99797058105469,16.847774505615234,37.199127197265625,82.06095123291016,118.55999755859376,26.82999992370605,66.71682739257811,149.02000427246094,64.97222137451172,78.66000366210938,165.02001953125,56.72000122070313,112.75311279296876,42.74811553955078,41.65025329589844,77.93462371826172,50.22797012329102,28.17549705505371,34.14011383056641,24.21105766296387,30.33297920227051,93.2780532836914,45.67941284179688,23.62492370605469,82.22000122070312,39.12473678588867,18.61000061035156,32.87110137939453,87.21461486816406,24.73928260803223,14.637105941772461,81.9931869506836,99.40093231201172,35.63698196411133,28.43212890625,,95.53247833251952,17.25101089477539
2015-01-13,114.60082244873048,140.9600067138672,115.87999725341795,102.6542739868164,23.78782081604004,14.439596176147461,37.45374298095703,,24.379281997680664,46.873512268066406,29.45000076293945,48.62632751464844,57.47187423706055,96.32544708251952,31.103763580322266,16.290000915527347,38.69152069091797,,26.550018310546875,11.890000343322756,,240.20518493652344,40.32488632202149,63.23226165771485,179.76649475097656,95.62000274658205,34.57079315185547,107.9690170288086,48.71360397338867,120.0999984741211,88.57217407226562,64.82851409912111,16.779760360717773,37.1717529296875,81.9764633178711,118.16000366210938,25.86000061035156,66.61572265625,148.91000366210938,64.97222137451172,79.16000366210938,164.58494567871094,59.7599983215332,112.86235809326172,42.27007675170898,41.64175415039063,77.99188995361328,50.48121643066406,28.18415451049805,34.14868927001953,24.365217208862305,30.32431221008301,93.06382751464844,45.58954238891602,23.69275665283203,82.55999755859375,39.107669830322266,18.61000061035156,32.89065170288086,87.21461486816406,24.69058609008789,14.714397430419922,82.07215118408203,99.4911880493164,35.77114486694336,28.403438568115234,,95.55828094482422,17.193317413330078
2015-01-14,115.47014617919922,146.16000366210938,116.05999755859376,103.26361846923828,23.72937393188477,14.265507698059082,37.2979736328125,,24.40822410583496,46.987342834472656,31.020000457763672,48.360740661621094,57.65155410766602,95.79412078857422,31.25039100646973,16.129999160766598,39.02620315551758,,26.67988204956055,12.06999969482422,,239.21804809570312,40.15615463256836,63.13279724121094,178.68121337890625,95.75,34.377212524414055,107.53628540039062,48.44811248779297,119.36000061035156,87.96715545654297,65.25612640380861,16.964366912841793,36.9619026184082,81.78646850585938,117.97000122070312,25.6200008392334,67.19125366210939,149.6199951171875,64.18898773193361,75.27999877929688,163.61705017089844,66.72000122070311,113.16285705566406,41.77434158325195,41.51414489746094,77.9059829711914,50.33770751953125,28.17549705505371,34.045909881591804,24.433734893798828,30.289661407470703,92.55514526367188,45.3379135131836,23.644302368164066,82.97000122070312,39.0138053894043,16.920000076293945,32.92975234985352,87.21461486816406,24.787982940673828,15.197470664978027,82.16098022460938,99.66346740722656,35.72082901000977,28.34606742858887,,95.7904281616211,16.948114395141598
2015-01-15,117.2871551513672,139.60000610351562,114.4000015258789,104.0821304321289,23.61248016357422,14.400909423828125,38.086570739746094,,24.38892936706543,46.76844024658203,29.96999931335449,48.13058853149414,56.91722869873047,94.5511245727539,31.201515197753906,16.149999618530273,39.33638000488281,,26.670263290405273,12.220000267028807,,236.5609436035156,40.44298934936523,62.45464324951172,177.04441833496094,112.19000244140624,34.456405639648445,105.7225570678711,48.73073959350586,121.9499969482422,87.2238540649414,65.34487152099611,16.731178283691403,36.48743438720703,81.32200622558594,120.94000244140624,25.51000022888184,67.34680938720703,149.02999877929688,63.35967636108398,74.37000274658203,162.08973693847656,64.48000335693361,113.7911376953125,41.69466781616211,41.58219528198242,78.56468200683594,50.658485412597656,28.166826248168945,33.99451065063477,24.18537139892578,30.289661407470703,91.61809539794922,44.87959671020508,23.72182655334473,83.63999938964844,38.86021423339844,17.489999771118164,32.548446655273445,87.21461486816406,23.667896270751953,14.666090965270994,82.04254150390625,100.18045806884766,35.972389221191406,28.35322570800781,,96.22887420654295,16.738969802856445
