# Description: investment options

# Format
"Investment Option","Description","Asset Class","1 mo","3 mo","1 Yr","3 Yr","5 Yr","Vola","DS Vola","Std Dev"

# Investment Options
"BTI","British American Tobacco","Global Stocks:Developed Markets","","","","","","","",""
"BUD","Anheuser-Busch","Global Stocks:Developed Markets","","","","","","","",""
"PM","Philip Morris International","Global Stocks:Developed Markets","","","","","","","",""
"UL","Unilever","Global Stocks:Developed Markets","","","","","","","",""
"ROKU","Roku, Inc.","US Stocks:Technology","","","","","","","",""
"EPD","Enterprise Products Partners L.P.","US Stocks:Energy","","","","","","","",""
"ET","Energy Transfer LP","US Stocks:Energy","","","","","","","",""
"TDG","TransDigm Group Incorporated","US Stocks:Industrials","","","","","","","",""
