Date,BTI,BUD,EPD,ET,OKLO,PM,ROKU,TDG,UL
2019-01-02,18.19023895263672,58.97414779663086,14.328362464904783,6.888522624969482,,46.39530563354492,32.52000045776367,252.0925445556641,45.362098693847656
2019-01-03,18.23061180114746,59.43048095703125,14.592110633850098,6.9353132247924805,,45.79563522338867,30.100000381469727,241.62733459472656,45.15317916870117
2019-01-04,19.026506423950195,61.81950378417969,15.19987964630127,7.372020721435547,,47.93928146362305,33.72999954223633,253.07228088378903,45.89311599731445
2019-01-07,18.288286209106445,62.09688568115234,15.549628257751465,7.517587184906006,,46.47111511230469,42.18000030517578,253.4879150390625,45.55361557006836
2019-01-08,18.46129608154297,63.3048210144043,15.778974533081056,7.683953762054443,,46.78129959106445,40.880001068115234,256.70172119140625,45.56231689453125
2019-01-09,18.33441734313965,62.84849166870117,15.584031105041504,7.855515480041504,,46.808868408203125,42.09999847412109,257.1767272949219,45.17929458618164
2019-01-10,18.553586959838867,63.31377410888672,15.532427787780762,7.850318431854248,,46.97429275512695,40.15999984741211,259.6928405761719,45.39692687988281
2019-01-11,18.859254837036133,65.97123718261719,15.498023986816406,7.819122791290283,,47.904815673828125,39.56999969482422,259.40338134765625,45.61455154418945
2019-01-14,18.60548591613769,64.89750671386719,15.595498085021973,7.647559642791748,,47.98752212524414,39.459999084472656,258.3345947265625,45.04872131347656
2019-01-15,18.588180541992188,64.88855743408203,15.692971229553224,7.730742454528809,,48.59410095214844,40.4900016784668,258.9506225585937,45.47527313232422
2019-01-16,18.51321029663086,63.08112716674805,15.756040573120115,7.616367340087891,,48.766414642333984,39.88999938964844,258.7873229980469,44.91814804077149
2019-01-17,18.88232421875,64.4053955078125,15.836313247680664,7.595571041107178,,49.98643112182617,41.630001068115234,259.0693664550781,45.318580627441406
2019-01-18,18.9746036529541,65.899658203125,15.778974533081056,7.574774742126465,,50.86182403564453,40.97999954223633,264.1460876464844,45.55361557006836
2019-01-22,18.69199752807617,65.76543426513672,15.721643447875977,7.330428600311279,,50.18632125854492,39.90999984741211,255.01687622070312,45.43174362182617
2019-01-23,18.668928146362305,66.13229370117188,15.601228713989258,7.299234867095947,,51.006568908691406,40.43999862670898,257.85955810546875,45.99758529663086
2019-01-24,18.1556339263916,66.4365005493164,15.681500434875488,7.340826988220215,,49.317848205566406,43.290000915527344,258.8541259765625,45.483978271484375
2019-01-25,18.11526870727539,66.98231506347656,15.89365005493164,7.455202579498291,,50.13118362426758,43.68999862670898,261.1549987792969,45.43174362182617
2019-01-28,18.45553398132324,65.92649841308594,15.859243392944336,7.382418155670166,,51.24781799316406,43.86000061035156,260.3459777832031,45.318580627441406
2019-01-29,19.19952774047852,66.20386505126953,16.01405143737793,7.424008369445801,,51.28916549682617,42.84999847412109,278.8641357421875,46.08462905883789
2019-01-30,19.937744140625,67.05390167236328,16.11598014831543,7.62676477432251,,51.337432861328125,44.130001068115234,285.79644775390625,46.13685607910156
2019-01-31,20.347230911254883,68.39605712890625,16.11598014831543,7.647559642791748,,52.88140106201172,44.95000076293945,290.2052001953125,45.78865432739258
2019-02-01,20.462574005126957,68.75395202636719,16.41301727294922,7.819122791290283,,52.19900894165039,45.209999084472656,291.8603210449219,46.30224609375
2019-02-04,20.283784866333008,69.26399230957031,16.645994186401367,7.839920043945312,,52.41960144042969,47.43000030517578,298.837158203125,46.77231979370117
2019-02-05,20.750946044921875,70.56140899658203,16.645994186401367,7.850318431854248,,52.25415802001953,48.15999984741211,310.2969055175781,47.66893768310547
2019-02-06,20.45681381225586,70.06033325195312,16.366426467895508,7.787928581237793,,52.04738235473633,48.380001068115234,311.6551513671875,47.05959701538086
2019-02-07,20.45681381225586,68.80764770507812,16.162572860717773,7.6472978591918945,,52.88829040527344,46.86000061035156,312.45672607421875,47.268516540527344
2019-02-08,20.272254943847656,68.13656616210938,16.046085357666016,7.620760917663574,,55.12844467163086,48.27000045776367,315.7298889160156,47.303340911865234
2019-02-11,20.42221069335937,68.33341217041016,16.162572860717773,7.562386989593506,,54.487422943115234,46.97999954223633,318.2088928222656,47.0073471069336
2019-02-12,20.497182846069336,68.31551361083984,16.203344345092773,7.716285705566406,,55.5557975769043,49.209999084472656,320.0273132324219,47.773414611816406
2019-02-13,20.797080993652344,69.55925750732422,16.343128204345703,7.8648810386657715,,56.03829574584961,50.20000076293945,320.70269775390625,47.67765045166016
2019-02-14,20.95280265808105,67.91287231445312,16.424671173095703,7.9657111167907715,,56.41739273071289,50.970001220703125,318.9808044433594,47.81104278564453
2019-02-15,21.17773056030273,69.51451873779297,16.430492401123047,7.986939430236816,,57.527122497558594,52.08000183105469,326.6404724121094,47.854923248291016
2019-02-19,21.137357711791992,68.99555206298828,16.622699737548828,8.289434432983398,,57.47888946533203,53.220001220703125,324.00555419921875,48.24106216430664
